               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  96,            0.042056,            0.011471,           0.0089325,             0.83104,               0.825,             0.91731,             0.51637,            0.035483,           0.0060999,           0.0038113,            0.008119,            0.008119,            0.008119
                  97,            0.035063,           0.0099802,            0.008543,             0.90501,             0.97904,             0.98674,             0.68135,            0.027731,            0.005789,           0.0060343,           0.0080992,           0.0080992,           0.0080992
                  98,            0.037063,            0.011002,           0.0090686,             0.66314,             0.83636,             0.88373,             0.47711,            0.042161,           0.0064802,           0.0092487,           0.0080794,           0.0080794,           0.0080794
                  99,            0.049417,            0.011746,           0.0074859,             0.57975,                0.95,             0.86981,             0.53244,            0.041839,           0.0060103,           0.0098138,           0.0080596,           0.0080596,           0.0080596
                 100,            0.038935,           0.0089665,           0.0084682,             0.57975,                0.95,             0.86981,             0.53244,            0.041839,           0.0060103,           0.0098138,           0.0080398,           0.0080398,           0.0080398
                 101,            0.036179,             0.01124,           0.0078828,             0.93715,             0.96651,              0.9749,             0.74821,            0.032978,           0.0057051,            0.010368,             0.00802,             0.00802,             0.00802
                 102,            0.038632,            0.012876,           0.0076413,             0.74212,             0.90492,             0.77078,             0.44339,            0.044062,           0.0066247,           0.0077568,           0.0080002,           0.0080002,           0.0080002
                 103,            0.050018,            0.010303,           0.0080738,             0.80227,                 0.9,             0.92555,             0.55174,            0.042201,           0.0059836,           0.0045591,           0.0079804,           0.0079804,           0.0079804
                 104,            0.040939,           0.0090149,           0.0070628,             0.80227,                 0.9,             0.92555,             0.55174,            0.042201,           0.0059836,           0.0045591,           0.0079606,           0.0079606,           0.0079606
                 105,            0.037223,            0.010762,           0.0071915,             0.94905,               0.975,             0.98799,             0.68441,            0.033243,           0.0058067,           0.0040399,           0.0079408,           0.0079408,           0.0079408
                 106,            0.036402,           0.0091331,           0.0093991,             0.94148,                   1,               0.995,              0.6985,            0.039829,           0.0059128,           0.0039006,            0.007921,            0.007921,            0.007921
                 107,            0.044013,            0.010093,           0.0065406,             0.96219,                   1,             0.99381,             0.62437,            0.034347,           0.0057721,           0.0040064,           0.0079012,           0.0079012,           0.0079012
                 108,            0.041835,            0.010602,           0.0079281,             0.96219,                   1,             0.99381,             0.62437,            0.034347,           0.0057721,           0.0040064,           0.0078814,           0.0078814,           0.0078814
                 109,            0.036041,            0.011769,           0.0086138,             0.99202,                   1,               0.995,             0.75773,            0.030619,           0.0054971,           0.0041783,           0.0078616,           0.0078616,           0.0078616
                 110,            0.037257,            0.010682,           0.0089064,              0.8397,                0.95,             0.96312,             0.63505,            0.049292,           0.0057645,           0.0038384,           0.0078418,           0.0078418,           0.0078418
